15,17,0,9,6,7,2,7,9,5,2,3,2,24,4,4,3,5,12136,1754554452.7544978
22,3,11,2,6,2,9,4,1,2,1,5,5,15,12,9,12,2,12135,1754554453.0875666
2,11,14,18,10,21,0,10,15,7,16,1,10,16,2,1,10,0,12136,1754554453.0906663
7,3,19,12,6,3,4,7,1,4,22,2,17,0,10,26,25,4,12135,1754554453.4466963
8,10,11,13,1,29,0,2,10,4,22,16,2,7,15,1,13,1,12136,1754554453.4486942
7,8,7,7,6,4,3,11,12,3,27,7,16,3,3,1,22,15,12135,1754554453.7774029
16,21,6,1,3,13,1,2,12,11,6,13,4,2,3,5,8,1,12136,1754554453.7804534
4,12,18,30,7,3,5,4,1,8,4,11,3,7,3,3,19,15,12135,1754554454.110565
6,5,7,12,1,13,3,1,18,2,9,20,1,1,3,1,1,3,12136,1754554454.1160982
14,1,11,15,9,2,3,0,10,0,13,7,0,9,11,16,5,4,12135,1754554454.4439516
16,2,4,12,1,12,2,7,1,2,25,7,1,4,5,5,4,0,12136,1754554454.44595
21,4,16,10,10,5,1,2,7,9,16,2,7,9,37,12,4,12,12135,1754554454.778973
2,2,36,4,3,6,0,3,3,2,22,2,6,2,12,2,8,12,12136,1754554454.7809722
11,14,11,14,2,3,2,6,2,4,8,0,11,22,27,9,15,21,12135,1754554455.1132643
4,8,29,7,8,3,4,14,1,4,0,19,4,8,18,2,9,8,12136,1754554455.1152632
18,16,8,30,1,0,9,18,3,2,5,7,7,27,8,12,26,27,12135,1754554455.447374
7,2,1,2,5,1,0,14,0,11,5,1,3,4,3,37,1,8,12136,1754554455.4518983
27,8,0,5,1,6,11,14,8,0,1,11,3,1,3,34,24,17,12135,1754554455.781389
21,1,36,7,4,2,4,3,3,12,9,15,3,1,1,8,6,19,12136,1754554455.7823894
7,4,5,3,10,0,1,2,4,1,30,3,6,3,1,9,8,7,12135,1754554456.1152728
20,1,15,1,1,6,16,3,0,0,13,7,5,4,2,26,10,18,12136,1754554456.1174197
13,10,1,16,11,5,0,1,3,1,8,2,12,11,7,7,4,1,12135,1754554456.4484413
9,1,2,2,1,2,1,3,2,0,1,5,8,11,6,2,8,1,12136,1754554456.4504406
24,4,22,5,10,3,3,6,4,2,19,5,3,8,3,21,19,12,12135,1754554456.7838247
9,0,34,18,2,4,15,1,4,1,16,14,15,11,4,5,3,18,12136,1754554456.7872841
30,8,1,2,9,1,2,13,0,2,3,4,0,32,1,11,11,13,12135,1754554457.11792
4,2,3,15,0,3,2,0,0,1,18,28,15,3,7,7,25,15,12136,1754554457.1189194
4,1,7,2,7,1,2,24,0,3,3,3,2,32,6,48,9,27,12135,1754554457.4500468
11,3,33,6,3,2,3,2,5,9,1,18,6,2,9,8,20,3,12136,1754554457.452043
10,8,2,2,2,1,2,2,2,8,4,9,0,2,11,53,11,35,12135,1754554457.784877
3,5,16,2,1,5,1,1,1,10,1,0,3,3,12,19,8,1,12136,1754554457.785875
9,1,6,6,0,1,3,3,2,4,5,10,9,6,4,13,23,4,12135,1754554458.118856
0,3,20,17,3,0,5,3,1,0,2,10,1,5,4,0,9,0,12136,1754554458.1208231
23,3,11,3,6,0,1,1,1,7,2,0,2,3,12,9,9,6,12135,1754554458.4543076
37,6,12,19,14,6,1,1,1,6,10,0,1,5,13,2,4,17,12136,1754554458.455313
27,0,1,0,2,4,1,0,3,5,2,3,32,6,6,12,8,3,12135,1754554458.7874243
22,8,14,0,17,2,2,0,3,6,9,9,0,1,11,1,5,11,12136,1754554458.7894294
